athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
10016214,60 meter,False,2024,11,"11,61",,5-h1,Sportsklubben Vidar,2024-02-03,Nes Arena,"Hvam, Norgeslekene inne","2024-02-03|Nes Arena|Hvam, Norgeslekene inne",True,
10016214,600 meter,False,2024,11,"2,49,51",,6-h1,Sportsklubben Vidar,2024-02-03,Nes Arena,"Hvam, Norgeslekene inne","2024-02-03|Nes Arena|Hvam, Norgeslekene inne",True,
739553,600 meter,True,2022,14,"1,52,29",,3,Lørenskog Friidrettslag,2022-05-22,Romerike Friidrettstadion,"Lillestrøm, Romerikslekene","2022-05-22|Romerike Friidrettstadion|Lillestrøm, Romerikslekene",True,
739553,1500 meter,True,2023,15,"6,29,65mx",,2,Lørenskog Friidrettslag,2023-06-08,Jessheim Friidrettsstadion,"Jessheim, UKI-karusellen løp nr 3","2023-06-08|Jessheim Friidrettsstadion|Jessheim, UKI-karusellen løp nr 3",True,
739553,1500 meter,True,2021,13,"5,45,05",,5,Lørenskog Friidrettslag,2021-09-17,Nadderud Stadion,"Nadderud, Tyrvinglekene 2021","2021-09-17|Nadderud Stadion|Nadderud, Tyrvinglekene 2021",True,
739553,200 meter,False,2023,15,"32,59",,5-h2,Lørenskog Friidrettslag,2023-03-12,Stangehallen,"Stange, Bamselekene","2023-03-12|Stangehallen|Stange, Bamselekene",True,
739553,600 meter,False,2023,15,"1,59,63",,7,Lørenskog Friidrettslag,2023-03-11,Stangehallen,"Stange, Bamselekene","2023-03-11|Stangehallen|Stange, Bamselekene",True,
739553,600 meter,False,2022,14,"2,00,88",,1-h1,Lørenskog Friidrettslag,2022-02-12,Bærum Idrettspark,"Bærum, Tyrvinglekene Inne 2022","2022-02-12|Bærum Idrettspark|Bærum, Tyrvinglekene Inne 2022",True,
739553,Lengde,False,2023,15,"3,46",,9,Lørenskog Friidrettslag,2023-03-12,Stangehallen,"Stange, Bamselekene","2023-03-12|Stangehallen|Stange, Bamselekene",True,
10008367,200 meter,False,2023,17,"33,94",,3-h2,Kongsberg Idrettsforening,2023-03-18,Sparebanken Sør Amfi Grimstad,"Grimstad, Kretskampen 2023","2023-03-18|Sparebanken Sør Amfi Grimstad|Grimstad, Kretskampen 2023",True,
10008367,"60 meter hekk (84,0cm)",False,2023,17,"13,13",,2,Kongsberg Idrettsforening,2023-03-18,Sparebanken Sør Amfi Grimstad,"Grimstad, Kretskampen 2023","2023-03-18|Sparebanken Sør Amfi Grimstad|Grimstad, Kretskampen 2023",True,
10008367,Høyde,False,2023,17,"1,25",,3,Kongsberg Idrettsforening,2023-03-18,Sparebanken Sør Amfi Grimstad,"Grimstad, Kretskampen 2023","2023-03-18|Sparebanken Sør Amfi Grimstad|Grimstad, Kretskampen 2023",True,
10008367,Høyde uten tilløp,False,2023,17,"1,10",,1,Kongsberg Idrettsforening,2023-11-21,Kongsberghallen,"Kongsberg, Innendørsstevne","2023-11-21|Kongsberghallen|Kongsberg, Innendørsstevne",True,
10008367,Stav,False,2023,17,"1,80",,1,Kongsberg Idrettsforening,2023-11-21,Kongsberghallen,"Kongsberg, Innendørsstevne","2023-11-21|Kongsberghallen|Kongsberg, Innendørsstevne",True,
10008367,Lengde,False,2023,17,"3,25",,7,Kongsberg Idrettsforening,2023-03-18,Sparebanken Sør Amfi Grimstad,"Grimstad, Kretskampen 2023","2023-03-18|Sparebanken Sør Amfi Grimstad|Grimstad, Kretskampen 2023",True,
10008367,Lengde uten tilløp,False,2023,17,"1,84",,1,Kongsberg Idrettsforening,2023-11-21,Kongsberghallen,"Kongsberg, Innendørsstevne","2023-11-21|Kongsberghallen|Kongsberg, Innendørsstevne",True,
739576,60 meter,True,2024,12,"9,36","+0,0",5-h2,IL Koll,2024-09-14,Stovnerbanen,"Oslo/St, KM Oslo og Akershus 2024","2024-09-14|Stovnerbanen|Oslo/St, KM Oslo og Akershus 2024",True,
739576,60 meter,True,2024,12,"9,54","+0,8",4-h3,IL Koll,2024-06-22,Stampesletta,"Lillehammer, Veidekkelekene","2024-06-22|Stampesletta|Lillehammer, Veidekkelekene",True,
739576,60 meter,True,2024,12,"9,55","+0,0",4-h2,IL Koll,2024-06-01,Bislett Stadion,"Oslo/Bi, Tjalvelekene","2024-06-01|Bislett Stadion|Oslo/Bi, Tjalvelekene",True,
