athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
10024887,5 km,True,2024,40,"23,35",,7,Hell Ultraløperklubb,2024-05-07,Trondheim,"Trondheim, Tordenskioldløpet 2024","2024-05-07|Trondheim|Trondheim, Tordenskioldløpet 2024",True,
6659,100 meter,True,2012,17,"14,32","-0,3",1,Eide IL,2012-05-19,Midsund Stadion,"Midsund, KM 11-19 år 2012","2012-05-19|Midsund Stadion|Midsund, KM 11-19 år 2012",True,
6659,100 meter,True,2011,16,"13,75","-2,3",3-h3,Eide IL,2011-06-26,Stampesletta,"Lillehammer, Veidekkelekene 2011","2011-06-26|Stampesletta|Lillehammer, Veidekkelekene 2011",True,
6659,100 meter,True,2011,16,"13,77","-0,3",3,Eide IL,2011-05-28,Molde Idrettspark,"Molde, KM","2011-05-28|Molde Idrettspark|Molde, KM",True,
6659,100 meter,True,2011,16,"13,78","-0,5",5-fi-B,Eide IL,2011-06-26,Stampesletta,"Lillehammer, Veidekkelekene 2011","2011-06-26|Stampesletta|Lillehammer, Veidekkelekene 2011",True,
6659,200 meter,True,2012,17,"28,78","+1,9",4-h1,Eide IL,2012-06-22,Stampesletta,"Lillehammer, Veidekkelekene 2012","2012-06-22|Stampesletta|Lillehammer, Veidekkelekene 2012",True,
6659,200 meter,True,2011,16,"27,78","+1,2",5-h4,Eide IL,2011-06-24,Stampesletta,"Lillehammer, Veidekkelekene 2011","2011-06-24|Stampesletta|Lillehammer, Veidekkelekene 2011",True,
6659,200 meter,True,2011,16,"28,64","-0,8",2,Eide IL,2011-05-21,Høddvoll Stadion,"Ulsteinvik, Dimnaleikane","2011-05-21|Høddvoll Stadion|Ulsteinvik, Dimnaleikane",True,
6659,200 meter,True,2011,16,"28,89","-0,5",2,Eide IL,2011-07-28,Straumsnes Stadion,"Tingvoll, Treningsstevne","2011-07-28|Straumsnes Stadion|Tingvoll, Treningsstevne",True,
6659,Lengde,True,2012,17,"4,80","+1,7",5,Eide IL,2012-06-23,Stampesletta,"Lillehammer, Veidekkelekene 2012","2012-06-23|Stampesletta|Lillehammer, Veidekkelekene 2012",True,
6659,Lengde,True,2012,17,"4,65","+0,0",1,Eide IL,2012-08-18,Ørsta Stadion,"Ørsta, Ørstaleikane","2012-08-18|Ørsta Stadion|Ørsta, Ørstaleikane",True,
6659,Lengde,True,2012,17,"4,65","+1,6",2,Eide IL,2012-09-29,Fana Stadion,"Fana, Kretskamp 15-19 år","2012-09-29|Fana Stadion|Fana, Kretskamp 15-19 år",True,
6659,Lengde,True,2012,17,"4,41","+1,7",1,Eide IL,2012-05-20,Midsund Stadion,"Midsund, KM 11-19 år 2012","2012-05-20|Midsund Stadion|Midsund, KM 11-19 år 2012",True,
6659,Lengde,True,2011,16,"4,97","+1,9",1,Eide IL,2011-05-29,Molde Idrettspark,"Molde, KM","2011-05-29|Molde Idrettspark|Molde, KM",True,
6659,Lengde,True,2011,16,"4,97","-0,4",1,Eide IL,2011-09-03,Molde Idrettspark,"Molde, Kretscup 3 og 4","2011-09-03|Molde Idrettspark|Molde, Kretscup 3 og 4",True,
6659,Lengde,True,2011,16,"4,93","-2,1",5,Eide IL,2011-06-25,Stampesletta,"Lillehammer, Veidekkelekene 2011","2011-06-25|Stampesletta|Lillehammer, Veidekkelekene 2011",True,
6659,Lengde,True,2011,16,"4,71","-1,2",2,Eide IL,2011-05-21,Høddvoll Stadion,"Ulsteinvik, Dimnaleikane","2011-05-21|Høddvoll Stadion|Ulsteinvik, Dimnaleikane",True,
6659,Lengde,True,2012,17,"4,80","+2,1",1,Eide IL,2012-06-03,Valdervoll Friidrettsbane,"Valderøy, Kompaktleikane","2012-06-03|Valdervoll Friidrettsbane|Valderøy, Kompaktleikane",False,For mye vind/Assisting wind
6659,Lengde,True,2012,17,"4,78","+4,8",6,Eide IL,2012-09-01,Ravnanger Idrettspark,"Ravnanger, UM 2012","2012-09-01|Ravnanger Idrettspark|Ravnanger, UM 2012",False,For mye vind/Assisting wind
6659,Lengde,True,2011,16,"5,16","+4,3",5,Eide IL,2011-08-28,Sentralidrettsanlegget i Fredrikstad,"Fredrikstad, UM 2011","2011-08-28|Sentralidrettsanlegget i Fredrikstad|Fredrikstad, UM 2011",False,For mye vind/Assisting wind
6659,Tresteg,True,2013,18,"10,60","-0,7",6,Eide IL,2013-06-21,Stampesletta,"Lillehammer, Veidekkelekene 2013","2013-06-21|Stampesletta|Lillehammer, Veidekkelekene 2013",True,
6659,Tresteg,True,2013,18,"10,51","+2,0",3,Eide IL,2013-06-15,Nadderud Stadion,"Nadderud, DNB Tyrvinglekene","2013-06-15|Nadderud Stadion|Nadderud, DNB Tyrvinglekene",True,
6659,Tresteg,True,2013,18,"10,29","+0,9",5,Eide IL,2013-09-07,Stampesletta,"Lillehammer, UM 2013","2013-09-07|Stampesletta|Lillehammer, UM 2013",True,
6659,Tresteg,True,2012,17,"10,63","+1,2",4,Eide IL,2012-08-31,Ravnanger Idrettspark,"Ravnanger, UM 2012","2012-08-31|Ravnanger Idrettspark|Ravnanger, UM 2012",True,
6659,Tresteg,True,2012,17,"10,59","+1,0",(-),Eide IL,2012-06-22,Stampesletta,"Lillehammer, Veidekkelekene 2012","2012-06-22|Stampesletta|Lillehammer, Veidekkelekene 2012",True,
6659,Tresteg,True,2012,17,"10,34","+1,7",1,Eide IL,2012-05-19,Midsund Stadion,"Midsund, KM 11-19 år 2012","2012-05-19|Midsund Stadion|Midsund, KM 11-19 år 2012",True,
6659,Tresteg,True,2012,17,"10,05","-1,0",(-),Eide IL,2012-09-30,Fana Stadion,"Fana, Kretskamp 15-19 år","2012-09-30|Fana Stadion|Fana, Kretskamp 15-19 år",True,
6659,Tresteg,True,2012,17,"10,00","+0,0",1,Eide IL,2012-08-19,Ørsta Stadion,"Ørsta, Ørstaleikane","2012-08-19|Ørsta Stadion|Ørsta, Ørstaleikane",True,
6659,Tresteg,True,2011,16,"10,73","+1,7",1,Eide IL,2011-07-28,Straumsnes Stadion,"Tingvoll, Treningsstevne","2011-07-28|Straumsnes Stadion|Tingvoll, Treningsstevne",True,
6659,Tresteg,True,2011,16,"10,49","+1,3",2,Eide IL,2011-05-28,Molde Idrettspark,"Molde, KM","2011-05-28|Molde Idrettspark|Molde, KM",True,
6659,Tresteg,True,2011,16,"10,33","+0,9",13,Eide IL,2011-06-24,Stampesletta,"Lillehammer, Veidekkelekene 2011","2011-06-24|Stampesletta|Lillehammer, Veidekkelekene 2011",True,
6659,Tresteg,True,2011,16,"10,09","-0,2",4,Eide IL,2011-09-04,Molde Idrettspark,"Molde, Kretscup 3 og 4","2011-09-04|Molde Idrettspark|Molde, Kretscup 3 og 4",True,
